user_id,following_list
156338499,"['3551583', 'Dear_Nana', '127466479', '258658260', 'lapsefromvirtue', '147260785', '256508088', '146949288', 'pekingcat', '178318148', 'thoughts', 'spritevikky', 'also57', 'hexiaoqin', '74765007', 'taishizheng', '232412546', 'typhanie', '44005164', 'xpwk', 'Black2018', 'malingcat', '1283429', '170723051', '56395629', '248430629', 'leftright2018', '50335468', '44306316', '132259598', 'lavixu', 'nicodemism', '243436100', '74208718', '225946469', 'love666777', '159688604', '238251161', '220077199', '185900605', 'qieshuzhe', 'vikimoon', '172547695', 'zrz20000706', '156609716', '67494547', '181096809', '148335733', '162512366', 'xiaoxiaodeyuanz', 'izhaojingyi', 'zerozr', 'ChaoranSun', '216806704', '76708282', '1010589', '218677947', 'ziyoubuzizai', 'buguoshenxian', '54926102', '78539189', '223128562', '217608843', 'wuyongyitu', '2123930', '134937362', 'shaqingqing', 'sickrain', '114515320', 'tangacheng', '220616741', '46843344', '170643859', 'sungdebbie', 'mapleafdog', 'Yichengasr', '2326145', '221602966', '185037940', '226083351', 'twentie', 'heybubu', 'zeaglog', '138643657', '225063356', 'dreamending', '209193357', '139964679', 'HIDETOKAZU', 'GreatAunt', '147529258', '2740397', '84606882', '164767961', '134002125', '207182849', '160096183', 'tangweijie', '70772493', '206334353', '3223541', 'icaso', '215364130', 'XIAOHUA4709', '49498918', 'The_BiBle', '215591020', '217558939', '179418784', 'freyachan', '192115874', 'zzpaper', 'lijuanrong', 'hinabook', '120963677', 'erinshanicdi', 'shanghai2007', '200392797', '153831793', '175794084', 'shensui222', 'Dorasimon', '158018128', 'sijidou', 'yilinrwsk', '2802616', '144475825', 'linbj', 'ngocn01', 'xiaxiaodai', 'zexalk', '189363824', '196297654', 'wenjingbook', 'mujun_soc', '208879029', 'ashoftime', 'neeplusky', '77084675', 'PomBom', 'thornbook', '2924650', '158518033', '74871750', '158713605', 'hinabookhqt', '180473665', '1656330', 'hanslu', 'baixianyong', 'huiying1995', 'luqy', '194993972', '199033936', 'rougewell', 'lephemera', '51626265', '68959430', 'cyclediary', 'kanlixiang', '1370062', '211111513', '211572662', '131200641', 'imaginister', '130263193', 'mrs_coffee', 'Quincy962', '144259434', '210571838', 'kongJow', '181961121', '73262344', '179176444', 'chen1988', 'weizhoushiwang', 'emmmmmmma', '14848874', '209237255', '209464961', '185222478', 'hualing', '163300196', 'alexcite', '130206150', 'duduxiongzhifu', 'fayehaohao', '62276083', 'greenxxoo', '181102049', '1716436', 'tanzye', 'yushi517', '68642354', 'xilouchen', '186015655', 'QNL_XiaoKui', 'flxjp', '93124222', 'Platosticker', '166355049', '175623093', '148932591', '172783825', '172160181', '172092972', 'doubanfilm', 'Jesselllau', 'satan163', '69290051', 'nobodyfilm', 'pirealwei', '156804006', 'MovieL', '161112104', '161247564', '157770308', 'longzheking', 'mackalex', '1129320', '143658318', 'zhangzongqian', '1233038', '75788594', 'VanSupernatural', 'jinpiankong', '70702846', 'hayeke2325156', 'TheGZMovieGuy', 'pinwan', '48687824', 'grinch', 'p2165', '88652488', '34347136', 'stevecarell']"
,
132341696,"['158459516', 'ever3866', '64207379', '184139563', 'duduxiongzhifu', '183715639', '125589903', 'floracake', 'truevoice', 'pingzills', 'renjiananhuo', 'guajila', '67282987', '83028811', '178178556', '43467087', 'loyoyo_O', 'Amerigo2025', 'lm498521969', '3124762', '47673408', '76405461', '185222478', '136915294', 'particles', 'fuyuwinter', 'hinabooklit', '46273561', '179089222', 'pessi', 'so-it-is', 'fishniao', 'luqy', 'epbooks', 'sanwuhuashi', '70698197', 'auxt', '64181507', 'hualing', '47706483', 'Uergaby', 'mtl', 'zhenshigushi1', '121543501', 'dongxihongni', 'yesenia1988', 'syney', 'veverlee', '78349085', '48375591', 'china30s', '159107017', 'mahaprajna', 'mackalex', '130357068', '104562976', '148654561', 'punklee', 'dafeng1020', 'karn', '47379426', 'LordBean', 'Karson', 'nidepaopao', '1272884', 'ALL-iswell', 'killersige1990', 'zoedt', 'minhuzi', 'moyistudio']"
,
58530596,"['164915279', '60217592', '60778740', 'Hiddenleaves', '3194517', '171287997', '224412923', '167080918', '165612938', '179717745', '202352002', '198902801', 'haidanhuangdi', 'cenhao522', 'myhomelife', 'sijilao', '29610521', 'amberose', 'imaginister', '151162898', '37676396', 'hinabook', 'sansan201314', '1917700', '153233621', '143005949', '98988500', 'xisuan2000', '175138720', '203842761', '182167298', '197988149', 'PANNINI', '153088427', 'huoxiaoliang', '194551173', '176237315', 'sauval', '169943762', 'briggtta', '67656131', '57077807', '59922159', '41838234', 'INCUBATORPOI', '151860135', 'cleanworld', '70267698', '46916544', 'serena_lol', 'clausie', 'elainegong', '67655170', '108210332', '3176883', '127860227', 'europetourchong', '128448696', '184194899', 'ssw-sum', 'annbabyyan', 'woodensun', '3567715', 'smilefish0119', 'Uergaby', 'ShinLn', '130819264', '187600035', '147197001', 'limerr', '2263229', '80082228', '166037254', 'valeriemeixin', 'zardie', '91998053', 'YamiPan', '159532922', 'xiaoyouriji', 'momokozxl', 'adaland', '149439377', '154386146', 'minimalist', 'yiyun_tsai', '189406773', '178451752', 'ibookreview', '149116403', 'xihe.kang', '91649608', '73985752', '104562976', '56447084', 'ViolaDouBan', 'tangchacha', '157133458', 'luodaidai2013', '180473770']"
,
156548499,"['151873478', 'mercurio', '65105953', '103576952', '180441686', '180473770', '180473832', '126354788', 'sunnyicecream']"
,
44816197,"['Diego2333', 'fenglimuren', '104086596', '51680157', '75367417', 'lifeicai', '30156142', 'guozy191', '3314793', 'Kingly', '190325367', 'JeffLyn', '179093949', '2350371', '149861935', 'erinyhr', '60379185', '53652105', '56411130', '75450002', '164339701', '48375591', 'nobodyfilm', '122673816', '60502059', '4464274', 'gooood', 'sundayjune', 'mondter', '3410130', '32433633', 'tonghaunin', '60477196', '63595575', 'dennyluohao', 'heqianbiao', 'austintian', 'siyueyuhouzi', '58791624']"
,
